@relation MyRelation

@attribute twitid numeric
@attribute username string
@attribute tweetcontent string
@attribute createaccount numeric
@attribute followers numeric
@attribute followings numeric
@attribute userfavorite numeric
@attribute listed numeric
@attribute tweetcount numeric
@attribute retweetcount numeric
@attribute hashtagcount numeric
@attribute mentioncount numeric
@attribute urlcount numeric
@attribute charcount numeric
@attribute digitcount numeric
@attribute classify string

@data
138,'Press Trust of India','11-judge International Court of Justice (#ICJ) bench begins reading out verdict in Kulbhushan Jadhav case.',2298,1456399,1,0,2684,48667,19,1,0,0,106,2,Spam
139,'Press Trust of India','#SIT constituted to probe death of Karnataka cadre IAS officer #AnuragTiwari, to give report within 72 hours: SSP Lucknow Deepak Kumar.',2298,1456399,1,0,2684,48667,5,2,0,0,135,2,Spam
140,'Rajdeep Sardesai','Breaking: ICJ has jurisdiction over dispute over Vienna Convention.. #IndiaForJadhav',2866,6097211,492,309,8886,47520,25,1,0,0,84,0,Spam
141,'Vikram Chandra','RT @ndtv: UN Court decision on India vs Pak in #KulbhushanJadhav case\n\nWatch LIVE: https://t.co/hMlRpgrUU6 https://t.co/j9aXRT2umJ',3092,2510299,157,76,2894,15166,4,1,1,1,130,3,Spam
142,'ABP News','Live: ICJ reading out verdict on #KulbhushanJadhav \nhttps://t.co/0RYw4i6ens',2929,6533580,133,0,3072,149154,5,1,0,1,75,3,Spam
143,'ABP News','Live Updates: ICJ to pronounce verdict in Kulbhushan Jadhav case shortly \nhttps://t.co/0RYw4i6ens',2929,6533580,133,0,3072,149154,3,0,0,1,97,3,Spam
144,'ABP News','#KulbhushanJadhavVerdict : The International Court of Justice will pronounce its verdict shortly. Watch LIVE:… https://t.co/cBdTFIDVyF',2929,6533580,133,0,3072,149154,9,1,0,1,134,0,Spam
145,TSeries,'RT @theaaryankartik: Bas Thoda time aur ?\n#FranklyTuSonaNachdi https://t.co/LI8j0W1cIP',2218,834890,229,879,328,15739,14,1,1,0,87,3,Spam
146,'ABP News','RT @AshishSinghLIVE: International Court of Justice has no jurisdiction to hear case of Indian RAW agent as it pertains to th security of P…',2929,6533580,133,0,3072,149154,4,0,1,0,140,0,Spam
147,'VISHAL DADLANI','RT @JimmyPage: RIP Chris Cornell\nIncredibly Talented\nIncredibly Young\nIncredibly Missed. https://t.co/pKNI4tKiXz',2919,2561912,436,6191,2419,50674,8625,0,1,0,112,1,Spam
148,'VISHAL DADLANI','RT @metalinsider: Chris Cornell, iconic @soundgarden and @templeofthedog frontman, dies at 52: https://t.co/YwfDI8WqYu https://t.co/G8ZiS14…',2919,2561912,436,6191,2419,50674,48,0,3,1,140,6,Spam
149,'ABP News','#KulbhushanJadhav case: #ICJ to pronounce verdict shortly\nhttps://t.co/0RYw4i6ens https://t.co/oYvsqLbJKf',2929,6533580,133,0,3072,149154,10,2,0,1,105,3,Spam
150,'ShivrajSingh Chouhan','Shri Anil Madhav Dave worked tirelessly for conservation of Narmada. This is a personal loss for me. https://t.co/XvVEhVqmfS',1532,2438688,262,1144,1294,14318,60,0,0,0,124,0,Spam
151,'Western Railway','RT @RailMinIndia: What, however, has surprised most is the unprecedented speed at which the plan is bearing fruit—FY17 capex >2x FY15 https…',741,56371,3,23,79,5830,44,0,1,0,140,5,Spam
152,abhijeet,'RT @TimesNow: Hurriyat hypocrisy: Ask Kashmir\'s youth to fight, but want luxurious life for kin https://t.co/aWbNleyClg',2152,1162233,279,81,184,12129,97,0,1,1,119,0,Spam
153,'Western Railway','RT @RailMinIndia: Western Railway stations will get facilities akin to airports.\nhttps://t.co/3GnxcphNU8 https://t.co/9BMXEFL7VY',741,56371,3,23,79,5830,60,0,1,1,128,4,Spam
154,'Bollywood Hungama','PICS : @chintskap at #ReemaLagooJi \'s Funeral in Mumbai https://t.co/b2rk0Xv85J',2919,1091800,584,877,1036,38454,9,1,1,0,79,4,Spam
155,TSeries,'The struggle for admissions begins.\n#HindiMedium in cinemas tomorrow. Book your seats now - https://t.co/UsKir1mVw9… https://t.co/upY1esQXDl',2218,834890,229,879,328,15739,10,1,0,2,140,3,NonSpam
156,'ShivrajSingh Chouhan','In Shri Anil Madhav Dave nation has lost an environmentalist, a river conservationist,  a Swayamsevak & a true nati… https://t.co/ChJBjHXAxq',1532,2438688,262,1144,1294,14318,72,0,0,1,140,0,Spam
157,'Yash Raj Films','Have you heard the #BankChor anthem yet? @Y_films https://t.co/W3icpqqv9t',2850,1876881,92,30,950,15542,8,1,1,1,73,2,Spam
158,'Tips Films & Music','Happy Birthday to the multitalented @AliZafarsays! #AliZafar https://t.co/kgLEAgN0ER',1624,171304,190,2277,87,7789,1,1,1,0,84,1,NonSpam
159,'INC India','Indira Gandhi Prize (2014) being presented to ISRO by former PM Dr Manmohan Singh, in the presence of Congress Pres… https://t.co/wBWJGfjtAP',1562,1898435,2302,707,988,39929,254,0,0,1,140,4,Spam
160,'Eros Now','In memory of the most beloved mother of #Bollywood. RIP #ReemaLagoo??\nhttps://t.co/gKwfvp67G7 https://t.co/caWMt9a6zG',1935,529483,486,5858,305,33032,20,2,0,1,119,5,Spam
161,abhijeet,'Thanks for giving me the opportunity to hit hard to that \"Fatwa wala Kadir\" bellow the belt.. \n??????? ???? ???????… https://t.co/epZPbhZlq4',2152,1162233,279,81,184,12129,118,0,0,1,140,1,Spam
162,'Zee Music Company','#HalfGirlfriend is out with another heart-melting song ! Listen to #TuHiHai sung by #RahulMishra\nhttps://t.co/9LUk5UhQLM @balajimotionpic',1165,672976,419,2390,67,11741,12,3,1,1,137,2,Spam
163,'Bollywood Hungama','\"You will be HUGELY missed\" Celebs react on #ReemaLagoo ji\'s unfortunate demise https://t.co/hskcjkrxXF',2919,1091800,584,877,1036,38454,16,1,0,0,103,0,Spam
164,'Bollywood Hungama','.@fattysanashaikh & @sanyamalhotra07 at #ReemaLagoo ji\'s residence https://t.co/Uuz1e2dVuf',2919,1091800,584,877,1036,38454,12,1,2,0,90,4,Spam
165,'Press Trust of India','#Tax rates on 80-90 per cent of items nearly finalised by #GST Council: Official sources.',2298,1456399,1,0,2684,48667,31,2,0,0,89,4,Spam
166,'Dharma Productions','Arm in arm, on-screen or off-screen - these two are ????!? #ThrowbackThursday #BehindTheScenes #BKD @varun_dvn… https://t.co/PtyeO9BVXP',2396,2561147,52,369,359,9555,110,3,1,1,136,1,Spam
167,'Eros Now','Here\'s a sneak peek from the exclusive #BlackAndWhite Interview of the Bollywood ace actor @TheAmitSadh! #Sarkar3… https://t.co/r9fWQMKT9G',1935,529483,486,5858,305,33032,5,2,1,1,138,3,NonSpam
168,'RJ ALOK','Here @aamir_khan Sir talking about #ReemaLagoo Ji.. Remembering her ?? #RjAlok https://t.co/3beTH0W48W',2761,300276,432,7957,88,25746,16,2,1,0,104,4,Spam
169,'Rahul Kanwal','RT @IndiaToday: First reaction of @Gen_VKSingh on #HurriyatTruthTapes.\nWatch the full interview with @rahulkanwal here https://t.co/a657Fw5…',2798,3190253,2734,1735,2262,27520,42,1,3,0,140,4,Spam
170,'Yash Raj Films','RT @Y_films: Hum Hai Bank Chor, Hum Pe Kiska Zor? \nListen to #BankChorTilteTrack here - https://t.co/8OA9hpSrLp https://t.co/tcjvu7UW9C',2850,1876881,92,30,950,15542,6,1,1,1,135,4,Spam
171,'ABP News','21-year-old DJ runs with Rs 1 crore, nabbed after she goes live on Facebook #DJShikha\nhttps://t.co/VLok356CkW https://t.co/cRiDVJgkyP',2929,6533580,133,0,3072,149154,9,1,0,1,133,6,Spam
172,'Bollywood Hungama','.@KajolAtUN marks her presence at the funeral of #ReemaLagoo Ji https://t.co/c2aL1W59jL',2919,1091800,584,877,1036,38454,65,1,1,0,87,4,Spam
173,'Rahul Kanwal','Hurriyat acting like classic ostriches. Say won\'t comment on @IndiaToday investigation or act against those exposed by #HurriyatTruthTapes',2798,3190253,2734,1735,2262,27520,33,1,1,0,138,0,NonSpam
174,'VISHAL DADLANI','Don\'t have the words to describe the loss. As our heroes disappear, one by one, we lose our immortality in little s… https://t.co/6hmtF0VQYp',2919,2561912,436,6191,2419,50674,11,0,0,1,140,2,Spam
175,TSeries,'RT @atulmohanhere: With funny & light moments #HindiMedium tackles the serious issue of education in India. Don\'t Miss! A must watch for al…',2218,834890,229,879,328,15739,15,1,1,0,140,0,Spam
176,'INC India','Shri Azad prayed to the Almighty to give strength and courage to the near & dear ones of Shri Dave and that his soul may rest in peace.',1562,1898435,2302,707,988,39929,85,0,0,0,135,0,Spam
177,'STAR PLUS','Relationships grow stronger when the feelings are mutual. Do you agree? Dhhai Kilo Prem, Mon-Sat at 2pm.… https://t.co/6v2K7tOqaR',2725,1817077,632,1549,538,79924,7,0,0,1,129,4,Spam
178,'Sahil Shah','See you today! https://t.co/8VVXI5ZE8a',2411,663108,898,4695,307,53421,2,0,0,0,38,3,Spam
179,'Shiv Aroor','RIP, @ChrisCornell. Nothing will ever describe how your voice and words spoke to so many of us.… https://t.co/TY1lhLwty7',2573,516325,317,154,973,59042,7,0,1,1,120,2,NonSpam
180,TSeries,'Get ready for @iSharryMann\'s new song #Hostel.\nReleasing soon on #TSeriesApnaPunjab \n#MistaBaaz #ParmishVerma https://t.co/NUAdmMOAEO',2218,834890,229,879,328,15739,1,4,1,0,133,0,Spam
181,'Rajdeep Sardesai','Buzz from Hague: India will be granted consular access; Pakistan will have to suspend Jadhav sentence for now. More details soon!',2866,6097211,492,309,8886,47520,110,0,0,0,129,0,NonSpam
182,'INC India','\"He was an able Parliamentarian & a popular leader. I remember him as a very soft spoken & honest person,\" said Shri Azad.',1562,1898435,2302,707,988,39929,86,0,0,0,122,0,NonSpam
183,'Shiv Aroor','Chris Cornell, iconic frontman of @Soundgarden and @Audioslave has died. He was 52. https://t.co/KSkvPqx4fX',2573,516325,317,154,973,59042,6,0,2,1,107,3,Spam
